Edad,qx,t,cx
 -   ,0.0263, -   ,0.1500
1,0.0103,1,0.1500
2,0.0099,2,0.1000
3,0.0097,3,0.0500
4,0.0093,4,0.0000
5,0.0088,5,0.0000
6,0.0083,6,0.0000
7,0.0078,7,0.0000
8,0.0075,8,0.0000
9,0.0074,9,0.0000
10,0.0075,10,0.0000
11,0.0081,11,0.0000
12,0.0092,12,0.0000
13,0.0107,13,0.0000
14,0.0124,14,0.0000
15,0.0142,15,0.0000
16,0.0159,16,0.0000
17,0.0172,17,0.0000
18,0.0182,18,0.0000
19,0.0188,19,0.0000
20,0.0190,20,0.0000
21,0.0190,21,0.0000
22,0.0188,22,0.0000
23,0.0184,23,0.0000
24,0.0180,24,0.0000
25,0.0175,25,0.0000
26,0.0172,26,0.0000
27,0.0171,27,0.0000
28,0.0170,28,0.0000
29,0.0172,29,0.0000
30,0.0175,30,0.0000
31,0.0180,31,0.0000
32,0.0187,32,0.0000
33,0.0195,33,0.0000
34,0.0205,34,0.0000
35,0.0217,35,0.0000
36,0.0232,36,0.0000
37,0.0249,37,0.0000
38,0.0268,38,0.0000
39,0.0290,39,0.0000
40,0.0315,40,0.0000
41,0.0342,41,0.0000
42,0.0371,42,0.0000
43,0.0403,43,0.0000
44,0.0437,44,0.0000
45,0.0473,45,0.0000
46,0.0512,46,0.0000
47,0.0553,47,0.0000
48,0.0597,48,0.0000
49,0.0646,49,0.0000
50,0.0700,50,0.0000
51,0.0763,51,0.0000
52,0.0833,52,0.0000
53,0.0913,53,0.0000
54,0.1001,54,0.0000
55,0.1096,55,0.0000
56,0.1197,56,0.0000
57,0.1304,57,0.0000
58,0.1418,58,0.0000
59,0.1542,59,0.0000
60,0.1680,60,0.0000
61,0.1836,61,0.0000
62,0.2012,62,0.0000
63,0.2209,63,0.0000
64,0.2427,64,0.0000
65,0.2662,65,0.0000
66,0.2913,66,0.0000
67,0.3179,67,0.0000
68,0.3465,68,0.0000
69,0.3781,69,0.0000
70,0.4137,70,0.0000
71,0.4543,71,0.0000
72,0.5008,72,0.0000
73,0.5534,73,0.0000
74,0.6110,74,0.0000
75,0.6725,75,0.0000
76,0.7370,76,0.0000
77,0.8037,77,0.0000
78,0.8732,78,0.0000
79,0.9476,79,0.0000
80,0.9526,80,0.0000
81,0.9576,81,0.0000
82,0.9626,82,0.0000
83,0.9676,83,0.0000
84,0.9726,84,0.0000
85,0.9776,85,0.0000
86,0.9826,86,0.0000
87,0.9876,87,0.0000
88,0.9926,88,0.0000
89,0.9976,89,0.0000
90,0.9981,90,0.0000
91,0.9986,91,0.0000
92,0.9991,92,0.0000
93,0.9996,93,0.0000
94,0.9997,94,0.0000
95,0.9997,95,0.0000
96,0.9998,96,0.0000
97,0.9998,97,0.0000
98,0.9999,98,0.0000
99,1.0000,99,0.0000
